Book ID,Category,Book Title,Status,Target Pages,Current Pages,Target Words,Current Words,Chapters Planned,Chapters Completed,Research Status,Writing Status,Editing Status,Publishing Status,Completion %,Start Date,Target Completion Date,Last Updated,Notes
WH-001,World History,Empires Trade Routes and Power,In Progress,500,0,150000,186,31,0,Not Started,In Progress,Not Started,Not Started,0.06,,,2026-09-22 01:40:04,
WH-002,World History,The Making of Modern Europe,In Progress,500,0,150000,174,29,0,Not Started,In Progress,Not Started,Not Started,0.06,,,2026-09-22 01:40:04,
WH-003,World History,Wars That Remade Global Order,In Progress,500,0,150000,162,27,0,Not Started,In Progress,Not Started,Not Started,0.05,,,2026-09-22 01:40:04,
WH-004,World History,Colonialism and the Global Economy,In Progress,500,0,150000,210,35,0,Not Started,In Progress,Not Started,Not Started,0.07,,,2026-09-22 01:40:04,
WH-005,World History,Revolutions That Reshaped Human Civilization,In Progress,500,0,150000,180,30,0,Not Started,In Progress,Not Started,Not Started,0.06,,,2026-09-22 01:40:04,
WH-006,World History,The Rise and Fall of Empires,In Progress,500,0,150000,270,45,0,Not Started,In Progress,Not Started,Not Started,0.09,,,2026-09-22 01:40:04,
WH-007,World History,Diplomacy Across the Modern World,In Progress,500,0,150000,258,43,0,Not Started,In Progress,Not Started,Not Started,0.09,,,2026-09-22 01:40:04,
WH-008,World History,Migration Conquest and Cultural Exchange,In Progress,500,0,150000,246,41,0,Not Started,In Progress,Not Started,Not Started,0.08,,,2026-09-22 01:40:04,
WH-009,World History,Industrialization and the New World,In Progress,500,0,150000,204,34,0,Not Started,In Progress,Not Started,Not Started,0.07,,,2026-09-22 01:40:04,
WH-010,World History,Cold War and Global Transformation,In Progress,500,0,150000,168,28,0,Not Started,In Progress,Not Started,Not Started,0.06,,,2026-09-22 01:40:04,
WPS-001,World Political Science,States Power and Political Order,In Progress,500,0,150000,186,31,0,Not Started,In Progress,Not Started,Not Started,0.06,,,2026-09-22 01:40:04,
WPS-002,World Political Science,Institutions Behind Modern Democracies,In Progress,500,0,150000,180,30,0,Not Started,In Progress,Not Started,Not Started,0.06,,,2026-09-22 01:40:04,
WPS-003,World Political Science,Political Power in Global Systems,In Progress,500,0,150000,162,27,0,Not Started,In Progress,Not Started,Not Started,0.05,,,2026-09-22 01:40:04,
WPS-004,World Political Science,Elections Parties and Democratic Competition,In Progress,500,0,150000,162,27,0,Not Started,In Progress,Not Started,Not Started,0.05,,,2026-09-22 01:40:04,
WPS-005,World Political Science,Authoritarianism and Modern Statecraft,In Progress,500,0,150000,186,31,0,Not Started,In Progress,Not Started,Not Started,0.06,,,2026-09-22 01:40:04,
WPS-006,World Political Science,Constitutions Courts and Political Power,In Progress,500,0,150000,198,33,0,Not Started,In Progress,Not Started,Not Started,0.07,,,2026-09-22 01:40:04,
WPS-007,World Political Science,Geopolitics of the Modern World,In Progress,500,0,150000,180,30,0,Not Started,In Progress,Not Started,Not Started,0.06,,,2026-09-22 01:40:04,
WPS-008,World Political Science,Political Institutions and Social Change,In Progress,500,0,150000,192,32,0,Not Started,In Progress,Not Started,Not Started,0.06,,,2026-09-22 01:40:04,
WPS-009,World Political Science,Governance Beyond National Borders,In Progress,500,0,150000,240,40,0,Not Started,In Progress,Not Started,Not Started,0.08,,,2026-09-22 01:40:04,
WPS-010,World Political Science,Power Sovereignty and Global Governance,In Progress,500,0,150000,258,43,0,Not Started,In Progress,Not Started,Not Started,0.09,,,2026-09-22 01:40:04,
IH-001,Indian History,Civilizations Before the Mauryan Age,In Progress,500,0,150000,252,42,0,Not Started,In Progress,Not Started,Not Started,0.08,,,2026-09-22 01:40:04,
IH-002,Indian History,Mauryas Ashoka and Imperial India,In Progress,500,0,150000,180,30,0,Not Started,In Progress,Not Started,Not Started,0.06,,,2026-09-22 01:40:04,
IH-003,Indian History,Guptas and Classical Indian Civilization,In Progress,500,0,150000,210,35,0,Not Started,In Progress,Not Started,Not Started,0.07,,,2026-09-22 01:40:04,
IH-004,Indian History,Delhi Sultanate and Political Transformation,In Progress,500,0,150000,222,37,0,Not Started,In Progress,Not Started,Not Started,0.07,,,2026-09-22 01:40:04,
IH-005,Indian History,Mughal State and Indian Society,In Progress,500,0,150000,162,27,0,Not Started,In Progress,Not Started,Not Started,0.05,,,2026-09-22 01:40:04,
IH-006,Indian History,Marathas and the Changing Subcontinent,In Progress,500,0,150000,204,34,0,Not Started,In Progress,Not Started,Not Started,0.07,,,2026-09-22 01:40:04,
IH-007,Indian History,Company Rule and Indian Transformation,In Progress,500,0,150000,168,28,0,Not Started,In Progress,Not Started,Not Started,0.06,,,2026-09-22 01:40:04,
IH-008,Indian History,Revolt Resistance and Colonial Power,In Progress,500,0,150000,162,27,0,Not Started,In Progress,Not Started,Not Started,0.05,,,2026-09-22 01:40:04,
IH-009,Indian History,Nationalism and the Making of India,In Progress,500,0,150000,234,39,0,Not Started,In Progress,Not Started,Not Started,0.08,,,2026-09-22 01:40:04,
IH-010,Indian History,Partition and the Birth of India,In Progress,500,0,150000,210,35,0,Not Started,In Progress,Not Started,Not Started,0.07,,,2026-09-22 01:40:04,
IPS-001,Indian Political Science,Constitutional Foundations of Modern India,In Progress,500,0,150000,258,43,0,Not Started,In Progress,Not Started,Not Started,0.09,,,2026-09-22 01:40:04,
IPS-002,Indian Political Science,Indian Parliament and Political Power,In Progress,500,0,150000,264,44,0,Not Started,In Progress,Not Started,Not Started,0.09,,,2026-09-22 01:40:04,
IPS-003,Indian Political Science,Federalism and India's Union Structure,In Progress,500,0,150000,270,45,0,Not Started,In Progress,Not Started,Not Started,0.09,,,2026-09-22 01:40:04,
IPS-004,Indian Political Science,Elections and Democratic Competition India,In Progress,500,0,150000,234,39,0,Not Started,In Progress,Not Started,Not Started,0.08,,,2026-09-22 01:40:04,
IPS-005,Indian Political Science,Indian Judiciary and Constitutional Governance,In Progress,500,0,150000,240,40,0,Not Started,In Progress,Not Started,Not Started,0.08,,,2026-09-22 01:40:04,
IPS-006,Indian Political Science,Political Parties and Indian Democracy,In Progress,500,0,150000,216,36,0,Not Started,In Progress,Not Started,Not Started,0.07,,,2026-09-22 01:40:04,
IPS-007,Indian Political Science,Bureaucracy and Administrative Power India,In Progress,500,0,150000,174,29,0,Not Started,In Progress,Not Started,Not Started,0.06,,,2026-09-22 01:40:04,
IPS-008,Indian Political Science,Centre State Relations in India,In Progress,500,0,150000,162,27,0,Not Started,In Progress,Not Started,Not Started,0.05,,,2026-09-22 01:40:04,
IPS-009,Indian Political Science,Local Government and Indian Democracy,In Progress,500,0,150000,228,38,0,Not Started,In Progress,Not Started,Not Started,0.08,,,2026-09-22 01:40:04,
IPS-010,Indian Political Science,Indian Politics After Liberalization,In Progress,500,0,150000,204,34,0,Not Started,In Progress,Not Started,Not Started,0.07,,,2026-09-22 01:40:04,
PH-001,Philosophy,The Architecture of Human Reason,In Progress,500,0,150000,204,34,0,Not Started,In Progress,Not Started,Not Started,0.07,,,2026-09-22 01:40:04,
PH-002,Philosophy,Consciousness Mind and Human Experience,In Progress,500,0,150000,228,38,0,Not Started,In Progress,Not Started,Not Started,0.08,,,2026-09-22 01:40:04,
PH-003,Philosophy,Knowledge Truth and Rational Inquiry,In Progress,500,0,150000,168,28,0,Not Started,In Progress,Not Started,Not Started,0.06,,,2026-09-22 01:40:04,
PH-004,Philosophy,Freedom Choice and Moral Responsibility,In Progress,500,0,150000,240,40,0,Not Started,In Progress,Not Started,Not Started,0.08,,,2026-09-22 01:40:04,
PH-005,Philosophy,Existence Meaning and Human Purpose,In Progress,500,0,150000,204,34,0,Not Started,In Progress,Not Started,Not Started,0.07,,,2026-09-22 01:40:04,
PH-006,Philosophy,Logic Behind Philosophical Argument,In Progress,500,0,150000,192,32,0,Not Started,In Progress,Not Started,Not Started,0.06,,,2026-09-22 01:40:04,
PH-007,Philosophy,Justice Society and the Good Life,In Progress,500,0,150000,168,28,0,Not Started,In Progress,Not Started,Not Started,0.06,,,2026-09-22 01:40:04,
PH-008,Philosophy,Eastern and Western Philosophical Traditions,In Progress,500,0,150000,204,34,0,Not Started,In Progress,Not Started,Not Started,0.07,,,2026-09-22 01:40:04,
PH-009,Philosophy,Philosophy of Science and Knowledge,In Progress,500,0,150000,240,40,0,Not Started,In Progress,Not Started,Not Started,0.08,,,2026-09-22 01:40:04,
PH-010,Philosophy,Technology Humanity and the Future,In Progress,500,0,150000,240,40,0,Not Started,In Progress,Not Started,Not Started,0.08,,,2026-09-22 01:40:04,
EC-001,Economics,Markets Incentives and Economic Behavior,In Progress,500,0,150000,234,39,0,Not Started,In Progress,Not Started,Not Started,0.08,,,2026-09-22 01:40:04,
EC-002,Economics,Money Growth and Economic Development,In Progress,500,0,150000,198,33,0,Not Started,In Progress,Not Started,Not Started,0.07,,,2026-09-22 01:40:04,
EC-003,Economics,Institutions Behind Economic Prosperity,In Progress,500,0,150000,234,39,0,Not Started,In Progress,Not Started,Not Started,0.08,,,2026-09-22 01:40:04,
EC-004,Economics,Inflation Employment and Monetary Policy,In Progress,500,0,150000,216,36,0,Not Started,In Progress,Not Started,Not Started,0.07,,,2026-09-22 01:40:04,
EC-005,Economics,International Trade and Global Economics,In Progress,500,0,150000,234,39,0,Not Started,In Progress,Not Started,Not Started,0.08,,,2026-09-22 01:40:04,
EC-006,Economics,Development Economics Beyond Growth,In Progress,500,0,150000,222,37,0,Not Started,In Progress,Not Started,Not Started,0.07,,,2026-09-22 01:40:04,
EC-007,Economics,Public Finance and Economic Governance,In Progress,500,0,150000,222,37,0,Not Started,In Progress,Not Started,Not Started,0.07,,,2026-09-22 01:40:04,
EC-008,Economics,Behavioral Economics and Human Decisions,In Progress,500,0,150000,252,42,0,Not Started,In Progress,Not Started,Not Started,0.08,,,2026-09-22 01:40:04,
EC-009,Economics,Inequality Wealth and Economic Mobility,In Progress,500,0,150000,264,44,0,Not Started,In Progress,Not Started,Not Started,0.09,,,2026-09-22 01:40:04,
EC-010,Economics,Digital Economies and Market Transformation,In Progress,500,0,150000,162,27,0,Not Started,In Progress,Not Started,Not Started,0.05,,,2026-09-22 01:40:04,
FI-001,Finance,Architecture of Modern Financial Markets,In Progress,500,0,150000,264,44,0,Not Started,In Progress,Not Started,Not Started,0.09,,,2026-09-22 01:40:04,
FI-002,Finance,Investment Analysis and Portfolio Construction,In Progress,500,0,150000,246,41,0,Not Started,In Progress,Not Started,Not Started,0.08,,,2026-09-22 01:40:04,
FI-003,Finance,Corporate Finance and Strategic Capital,In Progress,500,0,150000,216,36,0,Not Started,In Progress,Not Started,Not Started,0.07,,,2026-09-22 01:40:04,
FI-004,Finance,Financial Risk and Decision Systems,In Progress,500,0,150000,216,36,0,Not Started,In Progress,Not Started,Not Started,0.07,,,2026-09-22 01:40:04,
FI-005,Finance,Derivatives Hedging and Market Strategy,In Progress,500,0,150000,210,35,0,Not Started,In Progress,Not Started,Not Started,0.07,,,2026-09-22 01:40:04,
FI-006,Finance,Banking Systems and Financial Stability,In Progress,500,0,150000,174,29,0,Not Started,In Progress,Not Started,Not Started,0.06,,,2026-09-22 01:40:04,
FI-007,Finance,Valuation Methods for Modern Businesses,In Progress,500,0,150000,180,30,0,Not Started,In Progress,Not Started,Not Started,0.06,,,2026-09-22 01:40:04,
FI-008,Finance,Behavioral Finance and Investor Decisions,In Progress,500,0,150000,240,40,0,Not Started,In Progress,Not Started,Not Started,0.08,,,2026-09-22 01:40:04,
FI-009,Finance,Financial Technology and Market Transformation,In Progress,500,0,150000,252,42,0,Not Started,In Progress,Not Started,Not Started,0.08,,,2026-09-22 01:40:04,
FI-010,Finance,Global Capital Markets and Institutions,In Progress,500,0,150000,192,32,0,Not Started,In Progress,Not Started,Not Started,0.06,,,2026-09-22 01:40:04,
HR-001,Human Resource Management,Strategic Human Capital Architecture,In Progress,500,0,150000,210,35,0,Not Started,In Progress,Not Started,Not Started,0.07,,,2026-09-22 01:40:04,
HR-002,Human Resource Management,Workforce Planning and Talent Strategy,In Progress,500,0,150000,228,38,0,Not Started,In Progress,Not Started,Not Started,0.08,,,2026-09-22 01:40:04,
HR-003,Human Resource Management,Organizational Behavior and Employee Performance,In Progress,500,0,150000,216,36,0,Not Started,In Progress,Not Started,Not Started,0.07,,,2026-09-22 01:40:04,
HR-004,Human Resource Management,Leadership Development and Talent Systems,In Progress,500,0,150000,252,42,0,Not Started,In Progress,Not Started,Not Started,0.08,,,2026-09-22 01:40:04,
HR-005,Human Resource Management,Performance Management Beyond Annual Reviews,In Progress,500,0,150000,198,33,0,Not Started,In Progress,Not Started,Not Started,0.07,,,2026-09-22 01:40:04,
HR-006,Human Resource Management,Employee Engagement and Organizational Culture,In Progress,500,0,150000,174,29,0,Not Started,In Progress,Not Started,Not Started,0.06,,,2026-09-22 01:40:04,
